Full Name	Email Address	Major	Educational Stage	If other please add here	Expected Graduation/Completion Date	How DS helps goals	Research categories of interest	Other Research Category	Primary Research Area of interest	Other primary research area	2nd research area interest	Other secondary research area	3rd research area of interest	Other third choice research area	Research interests.	Prior research skills	Other research skills/experience	Prior Research description	NIH guidelines state that trainees supported throu	Gender identity	Other gender identity	Sexual orientation	Other sexual orientation	Race/Ethnicity:	Other Race/Ethnicity	Are you from a disadvantaged background?	Which of the following describes your disability	Other disability	Notes	Do you consider yourself transgender?	Other transgender answer	First generation born/raised in US	First generation to attend college	Eligible for NIH Diversity Supplement	Citizenship	Please attach the following documents	PREP Interest
Gabriela Turner	gabriela.turner@university.edu	"Biopsychology, Cognition and Neuroscience"	Undergraduate student		24-May	"An NIH diversity supplement would support my research on the genetic basis of rare diseases, allowing me to make significant contributions to our understanding of these conditions."	"Clinical/Translational Research
Outcomes/Epidemiology Research"		Other	Neuropsychology	Neurobiology		Human Genetics		"Rare diseases are the main focus of my research, with an emphasis on understanding their genetic basis."	Qualitative analytical skills/experience		"I have previously conducted research on the genetic basis of rare diseases, focusing on identifying disease-causing mutations and studying their functional implications."		Female/Woman		Heterosexual		White		Yes	Does not apply			No		No	No	Yes	Yes		Yes
Sebastian Phillips	sebastian.phillips@university.edu	Neuroscience	Undergraduate student		6/15/24	"By receiving an NIH diversity supplement, I would be able to investigate the role of epigenetics in the development of mental disorders, advancing our knowledge in this field."	"Basic Science Research
Clinical/Translational Research"		Neurobiology		Chemistry and chemical biology		No preference		I am intrigued by the role of epigenetics in the development of mental disorders.	Qualitative analytical skills/experience		"My previous projects involved investigating the epigenetic modifications associated with mental disorders, utilizing cell culture models and patient samples to study DNA methylation patterns and histone modifications."		Male/Man		Heterosexual		Hispanic/Latinx		Yes				No			Yes	Yes	Yes		Yes
Valeria Lewis	valeria.lewis@university.edu	"Molecular and Cellular Biology: Cellular Biology, Development, and Physiology"	Undergraduate student		23-Dec	"With an NIH diversity supplement, I could study the impact of environmental factors on gene expression, providing insights into gene-environment interactions."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research"		Tissue / Organ Biology & Endocrinology		Cancer Biology & Cell Signaling		Immunology		Environmental factors and their impact on gene expression are at the forefront of my research interests.	"Other
Qualitative analytical skills/experience
Quantitative analytical skills/experience"	"Experience with Python and Java coding, data collection and analysis, EPIC electronic medical record system, large skill literature reviews, laboratory skills such as microscopy, imaging, gel electrophoresis, microscope slide prep, setting, and staining, etc."	"I have worked on studying the impact of environmental factors on gene expression, using genomic technologies to identify differentially expressed genes and understand their regulatory mechanisms."		Male/Man		Bisexual		"Filipino, Hmong, or Vietnamese
White"		No	Does not apply			No		No	No	Yes	Yes		Yes
Adrian Clark	adrian.clark@university.edu	Public Health	Undergraduate student		26-May	"An NIH diversity supplement would help me develop new techniques for non-invasive monitoring of brain activity, which has the potential to improve diagnosis and treatment of neurological disorders."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research"		Reproductive Science		Vascular & Cardiac Biology		Cancer Biology & Cell Signaling		My research focuses on developing non-invasive monitoring techniques for brain activity.	Other	N/A	"In my previous research, I have developed novel non-invasive imaging techniques for monitoring brain activity, utilizing advanced imaging modalities such as functional magnetic resonance imaging (fMRI) and electroencephalography (EEG)."				Heterosexual		"African American/Black
Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		No	No	Yes	Yes		Yes
Natalia Adams	natalia.adams@university.edu	Microbiology	Undergraduate student		24-Mar	"By receiving an NIH diversity supplement, I would have the opportunity to contribute to our understanding of the molecular mechanisms of aging, paving the way for interventions to promote healthy aging."	"Clinical/Translational Research
Health Disparities Research"		Cancer Biology & Cell Signaling		Immunology		Developmental & Stem Cell Biology		Understanding the molecular mechanisms of aging is a primary interest of my research.	Qualitative analytical skills/experience		"My previous projects focused on elucidating the molecular mechanisms of aging, utilizing model organisms and cellular assays to study age-related changes in gene expression and protein function."		Female/Woman		Gay		Other		Yes	Does not apply			No		Yes	Yes	Yes	California		I don't know
Leonardo Baker	leonardo.baker@university.edu	Biology	Post-Baccalaureate student		24-May	"With the support of an NIH diversity supplement, I could study the role of stem cells in tissue regeneration and repair, which has implications for regenerative medicine."	"Basic Science Research
Outcomes/Epidemiology Research"		Neurobiology		Developmental & Stem Cell Biology		Immunology		Stem cells and their role in tissue regeneration and repair are the main focus of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"I have conducted research on the role of stem cells in tissue regeneration and repair, utilizing animal models and in vitro culture systems to study stem cell differentiation and tissue engineering approaches."		Male/Man		Heterosexual		African American/Black		Yes	Does not apply			No		Yes	No	Yes	Yes		Yes
Andrea Reed	andrea.reed@university.edu	Molecular & Cell Biology	Undergraduate student		24-May	"An NIH diversity supplement would facilitate my research on the genetic and environmental factors contributing to obesity, helping us develop strategies to combat this growing health issue."	Basic Science Research		Virology & Microbial Pathogenesis		Immunology		Cancer Biology & Cell Signaling		Investigating the genetic and environmental factors contributing to obesity is a key aspect of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience"		"In my previous projects, I have investigated the genetic and environmental factors contributing to obesity, utilizing large-scale genetic studies and epidemiological analyses to identify risk factors and potential interventions."		Male/Man				"Central American
Hispanic/Latinx"		Yes				No		No	Yes	Yes	Yes		Yes
Luisa Carter	luisa.carter@university.edu	Molecular Biology	Undergraduate student		23-Dec	"By receiving an NIH diversity supplement, I would be able to develop new therapies for autoimmune diseases using cell-based approaches, improving outcomes for patients with these conditions."	Basic Science Research		Other	Enzymology	Biophysics		Chemistry and chemical biology		Developing cell-based approaches for autoimmune disease therapies is a primary interest of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"My previous research has focused on developing cell-based therapies for autoimmune diseases, utilizing stem cells and immune modulatory approaches to restore immune tolerance and reduce disease severity."		Male/Man		Queer				Yes	Does not apply			Unsure/Maybe/Questioning/Exploring		No	No	Yes	Yes		Yes
Miguel Mitchell	miguel.mitchell@university.edu	Microbial Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to study the neural circuits underlying behavior, contributing to our understanding of the brain and mental health disorders."	"Basic Science Research
Clinical/Translational Research
Outcomes/Epidemiology Research"		Virology & Microbial Pathogenesis		Immunology		Cancer Biology & Cell Signaling		My research aims to unravel the neural circuits underlying behavior.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"I have worked on studying the neural circuits underlying behavior, utilizing techniques such as optogenetics and electrophysiology to map brain circuits and understand their functional connectivity."		Female/Woman		Another		Hispanic/Latinx		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Mariana Perez	mariana.perez@university.edu	B.S. in Biotechnology with concentration in Bioinformatics	Post-Baccalaureate student		20-Dec	"An NIH diversity supplement would allow me to study the role of the microbiome in modulating immune responses, which has implications for a wide range of diseases."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research"		Computational Biology/Medical Informatics		Human Genetics		Immunology		I am interested in exploring the role of the microbiome in modulating immune responses.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"In my previous projects, I have investigated the role of the microbiome in modulating immune responses, utilizing animal models and microbiome profiling techniques to study host-microbe interactions and immune system development."						Hispanic/Latinx		Yes	Does not apply			No		No	No	Yes	Yes		Yes
Emilio Walker	emilio.walker@university.edu	"Molecular and Cell Biology - Biochemistry, Biophysics & Structural Biology"	Undergraduate student		24-May	"By receiving an NIH diversity supplement, I could investigate the molecular mechanisms of drug addiction, helping us develop more effective treatments and interventions."	"Basic Science Research
Clinical/Translational Research"		Cancer Biology & Cell Signaling		Biophysics		Chemistry and chemical biology		Investigating the molecular mechanisms of drug addiction is a primary focus of my research.	Quantitative analytical skills/experience		Previous projects involved studying the role of inflammation in neurodegenerative diseases using animal models and molecular techniques.		Male/Man		Heterosexual		"Filipino, Hmong, or Vietnamese"		No	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Ximena Robinson	ximena.robinson@university.edu	"Chemistry, Molecular and Cell Biology"	Post-Baccalaureate student		23-May	"With the support of an NIH diversity supplement, I would be able to develop new biomaterials for tissue engineering and regenerative medicine, advancing the field."	"Basic Science Research
Clinical/Translational Research"		Virology & Microbial Pathogenesis		Immunology		Cancer Biology & Cell Signaling		Biomaterials for tissue engineering and regenerative medicine are the main focus of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Conducted research on the impact of exercise on brain function and cognitive decline, utilizing cognitive tests and neuroimaging methods."		Female/Woman		Bisexual		Other		Yes	Does not apply			No		No	Yes	Yes	Yes		Yes
Carlos Garcia	carlos.garcia@university.edu	Biological Sciences	Post-Baccalaureate student		23-May	"An NIH diversity supplement would enable me to understand the role of mitochondria in aging and disease, providing insights into the underlying mechanisms of various conditions."	"Basic Science Research
Clinical/Translational Research"		Immunology		Virology & Microbial Pathogenesis		Tissue / Organ Biology & Endocrinology		Understanding the role of mitochondria in aging and disease is a key interest of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Investigated the molecular mechanisms of drug side effects, focusing on drug metabolism and toxicity pathways."		Female/Woman		Heterosexual		"Asian (Other than Filipino, Hmong or Vietnamese)
White"		Yes	Does not apply			Prefer not to respond/disclose		Yes	No	Yes	Yes		Yes
Luna Hall	luna.hall@university.edu	Biology	Master's degree holder		21-May	"By receiving an NIH diversity supplement, I could study the impact of nutrition on metabolic health and disease, informing strategies for prevention and treatment."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Virology & Microbial Pathogenesis		Cancer Biology & Cell Signaling		Human Genetics		My research aims to study the impact of nutrition on metabolic health and disease.	Quantitative analytical skills/experience		"Developed new drug delivery systems for targeted therapy, utilizing nanotechnology and biomaterials."		Male/Man		Bisexual		"Asian (Other than Filipino, Hmong or Vietnamese)
Hispanic/Latinx"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Alejandro Allen	alejandro.allen@university.edu	"Molecular Cell Biology - Biochemistry, Biophysics, and Structural Biology emphasis"	Undergraduate student		23-Dec	"With the support of an NIH diversity supplement, I would be able to investigate the genetic basis of neurodevelopmental disorders, helping us understand and address these conditions."	"Basic Science Research
Clinical/Translational Research"		Cancer Biology & Cell Signaling		Biophysics		Chemistry and chemical biology		Investigating the genetic basis of neurodevelopmental disorders is a primary interest of my research.	"Other
Qualitative analytical skills/experience
Quantitative analytical skills/experience"	Working with cell-lines	"Explored the genetic basis of rare eye disorders, identifying disease-causing mutations and studying their functional consequences."		Male/Man		Heterosexual				Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Victoria Young	victoria.young@university.edu	"Molecular, Cell, and Developmental Biology"	Undergraduate student		24-Jun	"An NIH diversity supplement would support my research on new imaging techniques for early cancer detection, improving diagnostic accuracy and patient outcomes."	"Basic Science Research
Outcomes/Epidemiology Research"		Cancer Biology & Cell Signaling		Developmental & Stem Cell Biology		Vascular & Cardiac Biology		Developing new imaging techniques for early cancer detection is a key focus of my research.	Quantitative analytical skills/experience		"Conducted research on chromatin remodeling in gene expression, utilizing epigenetic profiling techniques."		Female/Woman		Prefer not to answer		Hispanic/Latinx		Yes	Does not apply			No		Yes	Yes	Yes	Yes		No
Eduardo Hernandez	eduardo.hernandez@university.edu	Integrative Biology	Undergraduate student		12/16/23	"By receiving an NIH diversity supplement, I could contribute to our understanding of the role of inflammation in neurodegenerative diseases, potentially leading to novel therapeutic approaches."	"Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Reproductive Science		Tissue / Organ Biology & Endocrinology		Virology & Microbial Pathogenesis		I am dedicated to investigating the role of inflammation in neurodegenerative diseases.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the impact of exercise on metabolic health and insulin resistance, utilizing clinical trials and metabolic measurements."		Nonbinary				"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			Prefer not to respond/disclose		No	Yes	Yes	Yes		Yes
Zoe King	zoe.king@university.edu	Molecular and Cell Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to study the impact of sleep on cognitive function and mental health, providing insights into the importance of sleep."	Basic Science Research		Developmental & Stem Cell Biology		Human Genetics		Neurobiology		Studying the impact of sleep on cognitive function and mental health is a primary interest of my research.	Qualitative analytical skills/experience		"Investigated the genetic basis of rare neurological disorders, identifying disease-associated genetic variants."		Female/Woman		Prefer not to answer		"African American/Black
Hispanic/Latinx"		Yes	Does not apply			No		Yes	Yes	Yes	California		I don't know
Xavier Wright	xavier.wright@university.edu	Global Health Science	Master's degree holder		19-Dec	"An NIH diversity supplement would facilitate my investigation of the role of the immune system in cancer progression, which could inform the development of immunotherapies."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Developmental & Stem Cell Biology		Cancer Biology & Cell Signaling		Bioengineering		My research focuses on understanding the role of the immune system in cancer progression.	Quantitative analytical skills/experience		"Developed diagnostic tools for infectious diseases using next-generation sequencing, enabling rapid and accurate detection of pathogens."		Male/Man		Gay		"Filipino, Hmong, or Vietnamese"		Yes	Other	Mental health/depression		No		Yes	Yes	Yes	Yes		I don't know
Ana Lopez	ana.lopez@university.edu	Chemistry	Post-Baccalaureate student		22-Aug	"By receiving an NIH diversity supplement, I could develop new drug delivery systems for targeted therapy, improving treatment efficacy and reducing side effects."	Clinical/Translational Research		Neurobiology		Bioengineering		Tissue / Organ Biology & Endocrinology		Developing drug delivery systems for targeted therapy is a key aspect of my research.	Qualitative analytical skills/experience		"Investigated the role of the microbiome in inflammatory diseases, studying the composition and function of microbial communities."		Male/Man		Prefer not to answer		Hispanic/Latinx		No				Yes		No	No	Yes	Yes		I don't know
Andres Hill	andres.hill@university.edu	Molecular and Cell Biology	Undergraduate student		24-Dec	"With the support of an NIH diversity supplement, I would be able to contribute to our understanding of the mechanisms of drug metabolism, optimizing drug dosing and safety."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research"		Computational Biology/Medical Informatics		Immunology		Bioengineering		Investigating the mechanisms of drug metabolism is a primary interest of my research.	"Experience working with human subjects or animals
Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Explored the impact of diet on brain health and neurodegeneration, examining the effects of different dietary components on cognitive function."		Nonbinary		Heterosexual		"Asian (Other than Filipino, Hmong or Vietnamese)
Filipino, Hmong, or Vietnamese
White"	Vietnamese	Yes	Cognitive			No		Yes	No	Yes	Yes		Yes
Vanessa Scott	vanessa.scott@university.edu	Chemical Engineering	Undergraduate student		21-Dec	"An NIH diversity supplement would support my research on the impact of air pollution on respiratory health, providing insights into the health effects of environmental factors."	Basic Science Research		Computational Biology/Medical Informatics		Bioengineering		Biophysics		My research aims to study the impact of air pollution on respiratory health.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Studied the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Female/Woman		Heterosexual		"Asian (Other than Filipino, Hmong or Vietnamese)"		Yes	Does not apply			No		Yes	No	Yes	Yes		Yes
Daniel Green	daniel.green@university.edu	Molecular and Cell Biology	Post-Baccalaureate student		23-Jun	"By receiving an NIH diversity supplement, I could investigate the genetic basis of cardiovascular diseases, leading to better prevention and treatment strategies."	"Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Neurobiology		Cancer Biology & Cell Signaling		Human Genetics		Investigating the genetic basis of cardiovascular diseases is a key focus of my research.	Quantitative analytical skills/experience		"Investigated the impact of stress on immune function and inflammation, studying the effects of stress hormones on immune cells."		Female/Woman		Heterosexual		Hispanic/Latinx		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Valentina Adams	valentina.adams@university.edu	Molecular and Cell Biology	Undergraduate student		24-May	"With the support of an NIH diversity supplement, I would be able to develop new vaccines and immunotherapies for infectious diseases, addressing significant public health challenges."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research"		Immunology		Human Genetics		Epidemiology & Biostatistics		Developing vaccines and immunotherapies for infectious diseases is a primary interest of my research.	Qualitative analytical skills/experience		"Explored the genetic basis of autoimmune skin diseases, identifying disease-associated genetic variants."		Female/Woman		Pansexual		Hispanic/Latinx		Do not know	Cognitive			No		Yes	No	Yes	Yes		Yes
Javier Baker	javier.baker@university.edu	Molecular Environmental Biology	Undergraduate student		24-May	"An NIH diversity supplement would enable me to understand the role of the gut-brain axis in neurological disorders, which has implications for treatment and prevention."	"Basic Science Research
Clinical/Translational Research
Health Disparities Research
Outcomes/Epidemiology Research"		Epidemiology & Biostatistics		Neurobiology		Computational Biology/Medical Informatics		My research is centered around studying the role of the microbiome in neurological disorders.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Developed diagnostic tools for cancer using liquid biopsies, utilizing circulating tumor DNA and RNA for early cancer detection."		Female/Woman		Heterosexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		Yes
Sofia Gonzalez	sofia.gonzalez@university.edu	MCB	Post-Baccalaureate student		19-Dec	"By receiving an NIH diversity supplement, I could study the impact of stress on mental health and well-being, informing interventions to promote resilience."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research"		Cancer Biology & Cell Signaling		Immunology		Virology & Microbial Pathogenesis		Exploring the impact of stress on mental health and well-being is a primary focus of my research.	Experience working with human subjects or animals		"Studied the impact of the microbiome on immune system development, investigating the effects of microbial colonization on immune cell maturation."		Female/Woman		Pansexual		White		Yes	Does not apply			No		Prefer not to answer	Yes	Yes	Yes		I don't know
Carmen Nelson	carmen.nelson@university.edu	Biochemistry	Undergraduate student		5/30/23	"With the support of an NIH diversity supplement, I would be able to investigate the genetic basis of rare pediatric diseases, improving diagnostics and treatments for affected children."	"Clinical/Translational Research
Health Disparities Research"		Neurobiology		Developmental & Stem Cell Biology		Human Genetics		Investigating the genetic basis of rare pediatric diseases is a key interest of my research.	"Qualitative analytical skills/experience
Quantitative analytical skills/experience"		"Investigated the impact of diet on gut health and inflammatory bowel diseases, examining the effects of different diets on gut microbiota and inflammation."		Female/Woman		Bisexual		"Filipino, Hmong, or Vietnamese"		Yes	Does not apply			No		Yes	Yes	Yes	Yes		I don't know
Cristian Carter	cristian.carter@university.edu	Molecular and Cell Biology	Post-Baccalaureate student		5/13/23	"An NIH diversity supplement would facilitate my research in developing new diagnostic tools for early detection of genetic disorders, improving outcomes for patients and families."	"Basic Science Research
Clinical/Translational Research
Community-Based Participatory Research
Health Disparities Research
Outcomes/Epidemiology Research
immunology"		Virology & Microbial Pathogenesis		Virology & Microbial Pathogenesis		Reproductive Science		Developing diagnostic tools for early detection of genetic disorders is a primary focus of my research.	"Experience working with human subjects or animals
Quantitative analytical skills/experience"		"Explored the molecular mechanisms of drug-induced cardiotoxicity, investigating the effects of drugs on cardiac cells and signaling pathways."		Male/Man		Heterosexual		African American/Black		No	Does not apply			No		Yes	Yes	Yes	Yes		Yes
