StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q32	Q33	Q34	Q35	Q36	Q12
12/20/23 20:38	12/27/23 20:23	IP Address	76.102.127.111	100	603922	TRUE	12/27/23 20:23	R_1Gr1ChOztWfXw8P					37.3209	-121.9126	anonymous	EN	Andrea Reed	andrea.reed@university.edu	Corey Owens	Catherine Griffin	Jan Hamilton	Ruby Kelly	Hazel Phillips	
12/27/23 20:45	12/27/23 20:47	IP Address	76.38.68.161	100	134	TRUE	12/27/23 20:47	R_5gBxZCQdUQASveC					34.2664	-77.8614	anonymous	EN	Luisa Carter	luisa.carter@university.edu	Paisley Reed	Cherry Perry	Akinyemi Diaz	Avery Martinez	Eleanor Green	
12/29/23 16:06	12/29/23 16:22	IP Address	172.56.208.33	100	975	TRUE	12/29/23 16:22	R_3dy8CkVex6DWqkK					36.122	-115.086	anonymous	EN	Miguel Mitchell	miguel.mitchell@university.edu	Camila Clark	Aaliyah Bailey	Ruby Kelly	Matthew Washington	Kimberly Gibson	
12/21/23 0:25	12/30/23 12:17	IP Address	98.97.59.130	100	820338	TRUE	12/30/23 12:17	R_1Osj6En9XWo6q3f					34.0544	-118.2441	anonymous	EN	Mariana Perez	mariana.perez@university.edu	James Wallace	Sofia Robinson	Wilson Cole	Nora Hill	Alejandro Fisher	
12/31/23 15:03	12/31/23 15:22	IP Address	73.241.131.13	100	1137	TRUE	12/31/23 15:22	R_6aPSIBh2zBi3OxZ					37.6844	-122.438	anonymous	EN	Emilio Walker	emilio.walker@university.edu	Sadie Henderson	Emma Smith	Wilson Cole	Leah Turner	Noah Jones	
1/2/24 18:49	1/2/24 18:54	IP Address	107.77.230.144	100	305	TRUE	1/2/24 18:54	R_7taHIzRqW1qwzIE					36.175	-115.1372	anonymous	EN	Ximena Robinson	ximena.robinson@university.edu	Mia Wilson	Claire Sanchez	Autumn Wood	Kinsley Cooper		
1/2/24 18:26	1/2/24 19:04	IP Address	73.162.134.30	100	2286	TRUE	1/2/24 19:04	R_6O6aCsx08pRlKZB					37.7642	-122.3993	anonymous	EN	Carlos Garcia	carlos.garcia@university.edu	Penelope Hernandez	Kennedy Rivera	Lily Scott			
1/2/24 19:00	1/2/24 19:25	IP Address	135.180.160.4	100	1487	TRUE	1/2/24 19:25	R_7RRi371zyFXotkn					37.8657	-122.2571	anonymous	EN	Luna Hall	luna.hall@university.edu	Paisley Reed	Genesis Murphy	Sarah Cox	Quinn Jenkins	Mila Thompson	
1/2/24 22:09	1/3/24 0:26	IP Address	98.207.132.210	100	8207	TRUE	1/3/24 0:26	R_7wRKlge1En446Wl					37.6538	-122.4257	anonymous	EN	Alejandro Allen	alejandro.allen@university.edu	Zoey Lopez	Victoria Lee	Kinsley Cooper	Andrew Hughes	Serenity Price	
1/3/24 14:18	1/3/24 14:26	IP Address	69.228.133.39	100	476	TRUE	1/3/24 14:26	R_70qoOz6AKzDsnkS					38.1228	-121.2543	anonymous	EN	Victoria Young	victoria.young@university.edu	Elizabeth Martin	Emma Smith	john Powell	Jan Hamilton	Lillian Baker	
12/30/23 20:52	1/3/24 15:15	IP Address	108.85.24.186	100	325371	TRUE	1/3/24 15:15	R_72mPeW1w70bFVhO					37.7428	-122.1745	anonymous	EN	Eduardo Hernandez	eduardo.hernandez@university.edu	john Powell	Ariana Torres	Avery Martinez	Eliana Peterson		
1/3/24 17:15	1/3/24 17:20	IP Address	96.78.128.233	100	303	TRUE	1/3/24 17:20	R_30XwFpRuRFIZJQZ					38.4549	-122.2564	anonymous	EN	Zoe King	zoe.king@university.edu	Alice James	Adeline Ward	Zoey Lopez	Aria Rodriguez	Licia Hayes	
1/3/24 17:20	1/3/24 17:25	IP Address	96.78.128.233	100	278	TRUE	1/3/24 17:25	R_1ZNAJd231dXsXfw					38.4549	-122.2564	anonymous	EN	Xavier Wright	xavier.wright@university.edu	Anna Morgan	Mila Thompson	Ellie Carter	Emily Harris		
1/4/24 0:05	1/4/24 0:49	IP Address	75.234.201.36	100	2614	TRUE	1/4/24 0:49	R_325MKd0CLISoaXz					38.7648	-121.2855	anonymous	EN	Ana Lopez	ana.lopez@university.edu	Violet Campbell	Sadie Henderson	David Sullivan			
1/4/24 19:40	1/4/24 19:41	IP Address	77.81.142.139	100	60	TRUE	1/4/24 19:41	R_7f3xo4tlmrY6DRS					19.4354	-99.1427	anonymous	EN	Andres Hill	andres.hill@university.edu	Ross Simmons	James Wallace	Natalie Perez	Genesis Murphy	Sarah Gonzales	
1/4/24 23:00	1/4/24 23:02	IP Address	72.134.170.94	100	136	TRUE	1/4/24 23:02	R_63WzFx7li5jkXvn					34.7471	-118.3687	anonymous	EN	Vanessa Scott	vanessa.scott@university.edu	Zoey Lopez	Addison Gonzalez	Alison Patterson	Matthew Myers	Riley Wright	
1/5/24 13:14	1/5/24 13:20	IP Address	187.250.253.202	100	353	TRUE	1/5/24 13:20	R_6iDMvJQt69msGmB					32.4041	-116.8198	anonymous	EN	Daniel Green	daniel.green@university.edu	Penelope Hernandez	Sofia Robinson	Peyton Ross	Alejandro Fisher		
1/5/24 15:54	1/5/24 16:04	IP Address	35.149.142.113	100	633	TRUE	1/5/24 16:04	R_6xDkQKeCSAvFh6x					42.2808	-122.9047	anonymous	EN	Valentina Adams	valentina.adams@university.edu	Leah Turner	Alison Patterson	Scarlett Lewis	Layla King	James Wallace	
12/19/23 18:05	1/5/24 17:25	IP Address	24.121.253.156	100	1466402	TRUE	1/5/24 17:25	R_7qVZHHYViQ9Q4Pf					34.5575	-114.3307	anonymous	EN	Javier Baker	javier.baker@university.edu	Alice James	Xianhua Woods	Avery Martinez	Scarlett Lewis	Layla King	
1/6/24 16:14	1/6/24 16:24	IP Address	192.184.160.232	100	605	TRUE	1/6/24 16:24	R_6rIkyw3L3NRiS87					37.4828	-122.2144	anonymous	EN	Sofia Gonzalez	sofia.gonzalez@university.edu	Madison Walker	Eleanor Green	Avery Martinez	Harper Thomas	Onur Flores	
1/7/24 12:05	1/7/24 12:32	IP Address	129.63.248.32	100	1607	TRUE	1/7/24 12:32	R_51ZaUcrMl9gDCv0					42.6481	-71.3343	anonymous	EN	Carmen Nelson	carmen.nelson@university.edu	Layla King	Everly Cook	Addison Gonzalez	Serenity Price	Sara Alexander	
1/7/24 20:20	1/7/24 22:21	IP Address	172.9.237.24	100	7224	TRUE	1/7/24 22:21	R_317xAvyv1fgKy2X					37.7201	-121.919	anonymous	EN	Cristian Carter	cristian.carter@university.edu	Alison Patterson	Kinsley Cooper	Eva Sanders	Autumn Wood		
1/8/24 17:43	1/8/24 17:54	IP Address	98.41.21.45	100	662	TRUE	1/8/24 17:54	R_1mUh6WjqbPRdILD					37.3472	-120.6039	anonymous	EN	Mariana Mitchell	mariana.mitchell@university.edu	Noah Jones	Alejandro Fisher	Hannah Adams	Piper Coleman	Isabella Davis	
1/8/24 21:02	1/8/24 21:14	IP Address	136.152.215.76	100	684	TRUE	1/8/24 21:14	R_62gsvzbJLPtvGCI					37.8736	-122.257	anonymous	EN	Adrian Perez	adrian.perez@university.edu	Hannah Adams	Aubrey Nelson	Ashish West	Gabriella Ramirez	Sarah Gonzales	
1/9/24 17:42	1/9/24 17:51	IP Address	76.126.144.166	100	492	TRUE	1/9/24 17:51	R_7D0UOlZQVcYRCSz					38.4782	-122.7475	anonymous	EN	Natalia Roberts	natalia.roberts@university.edu	Catera Ellis	Everly Cook	Oscar Reynolds	Sara Alexander	Autumn Bennett	
1/8/24 12:02	1/10/24 14:31	IP Address	23.244.21.213	100	181722	TRUE	1/10/24 14:31	R_57UzkB4urYFzXBS					39.9914	-83.0034	anonymous	EN	Alejandro Turner	alejandro.turner@university.edu	Ross Simmons	Eliana Peterson	Luna Hall	Lillian Baker		
1/10/24 2:41	1/10/24 16:18	IP Address	76.102.22.117	100	49052	TRUE	1/10/24 16:18	R_1JtAmor254gQDjH					37.7183	-122.4103	anonymous	EN	Gabriela Phillips	gabriela.phillips@university.edu	Riley Wright	Olivia Williams	Aaliyah Bailey	Autumn Wood	Zoe Roberts	
1/5/24 18:52	1/11/24 3:07	IP Address	73.15.215.193	100	461698	TRUE	1/11/24 3:07	R_52XuIzd5HmY4dI6					37.7201	-122.4414	anonymous	EN	Diego Campbell	diego.campbell@university.edu	Savannah Evans	Rong Foster	Sophia Miller	Leah Turner	Nora Hill	
1/2/24 16:49	1/11/24 19:25	IP Address	98.35.156.9	100	786958	TRUE	1/11/24 19:25	R_5JgExMFDqNwql8O					38.0082	-122.2682	anonymous	EN	Valeria Parker	valeria.parker@university.edu	Paisley Reed	Isabella Davis	Leah Turner			
1/11/24 19:27	1/11/24 19:30	IP Address	98.35.156.9	100	188	TRUE	1/11/24 19:30	R_38HZEDP3CHixfPP					38.0082	-122.2682	anonymous	EN	Samuel Evans	samuel.evans@university.edu	Violet Campbell	Ashish West	Peyton Ross	Riley Wright	Claire Sanchez	
1/3/24 16:59	1/13/24 15:36	IP Address	157.131.184.77	100	858984	TRUE	1/13/24 15:36	R_5f7tMNzi7l84m3S					37.7562	-122.4866	anonymous	EN	Isabella Edwards	isabella.edwards@university.edu	Aria Rodriguez	Eliana Peterson	Wilson Cole	Cherry Perry		
1/2/24 13:09	1/13/24 15:40	IP Address	136.152.215.191	100	959466	TRUE	1/13/24 15:40	R_5e18Ge1BL6NoMNj					37.8906	-122.2936	anonymous	EN	Lucia Collins	lucia.collins@university.edu	Onur Flores	Stella Mitchell	Zoe Roberts	Sarah Gonzales	Autumn Bennett	
1/13/24 19:21	1/13/24 19:51	IP Address	69.209.7.179	100	1823	TRUE	1/13/24 19:51	R_7zoRM42k1pxt2sf					37.7441	-122.48	anonymous	EN	Juan Stewart	juan.stewart@university.edu	Savannah Evans	Jan Hamilton	Kinsley Cooper	Chloe Young		
1/13/24 20:46	1/13/24 22:00	IP Address	166.196.75.36	100	4398	TRUE	1/13/24 22:00	R_7OkTMJFakCPHBJ0					33.972	-118.242	anonymous	EN	Camila Sanchez	camila.sanchez@university.edu	Kimberly Gibson	Madelyn Watson	Alison Patterson	Autumn Wood	James Wallace	
1/13/24 22:09	1/13/24 22:25	IP Address	76.246.11.202	100	953	TRUE	1/13/24 22:25	R_7Ylg1ZLxaNw12dF					37.5428	-122.2971	anonymous	EN	Mateo Morris	mateo.morris@university.edu	Serenity Price	Judith Harrison	Roberto Graham	Ellie Carter	Licia Hayes	
1/14/24 16:52	1/14/24 17:00	IP Address	98.47.156.59	100	499	TRUE	1/14/24 17:00	R_3p38dONTfZiCwgC					37.7441	-122.48	anonymous	EN	Isabella Rogers	isabella.rogers@university.edu	Amelia Anderson	Violet Campbell	Licia Hayes	Lucy Rogers	Autumn Wood	
12/20/23 9:56	1/14/24 23:17	IP Address	24.5.153.109	100	2208054	TRUE	1/14/24 23:17	R_1lmWxd0JmXs1lOW					37.8919	-122.2636	anonymous	EN	Santiago Reed	santiago.reed@university.edu	Elena Howard	Violet Campbell	Savannah Evans	Elizabeth Martin	Natalie Perez	
1/15/24 13:46	1/15/24 14:04	IP Address	69.250.20.143	100	1084	TRUE	1/15/24 14:04	R_6IFaq360MfGlj0S					39.2891	-76.5583	anonymous	EN	Valentina Cook	valentina.cook@university.edu	Rong Foster	Peyton Ross	Licia Hayes	Joaquin Jordan		
1/15/24 15:07	1/15/24 15:50	IP Address	99.99.34.172	100	2584	TRUE	1/15/24 15:50	R_1IiKY3Q0Xr4gw5n					37.7585	-122.1856	anonymous	EN	Leonardo Morgan	leonardo.morgan@university.edu	Olivia Williams	Ella Garcia	Victoria Lee	Alison Patterson		
1/15/24 18:03	1/15/24 18:37	IP Address	169.233.214.48	100	2035	TRUE	1/15/24 18:37	R_3RAjRuWDWu01msF					36.6841	-121.7886	anonymous	EN	Valeria Bell	valeria.bell@university.edu	Olivia Williams	Liam Johnson	Catera Ellis	Gideon Bryant		
1/15/24 18:37	1/15/24 18:43	IP Address	169.233.214.48	100	407	TRUE	1/15/24 18:43	R_6IoCqKi6ckY7VRX					36.6841	-121.7886	anonymous	EN	Gabriel Murphy	gabriel.murphy@university.edu	Layla King	Zoe Roberts	Skylar Morris	Emily Harris	James Wallace	
1/15/24 18:54	1/15/24 19:02	IP Address	104.186.253.45	100	484	TRUE	1/15/24 19:02	R_5chf6cO0y0eufZE					37.9395	-122.3242	anonymous	EN	Catalina Bailey	catalina.bailey@university.edu	Bella Stewart	Brooklyn Collins	Lucy Rogers	Ellie Carter		
1/15/24 19:57	1/15/24 20:00	IP Address	71.133.242.25	100	205	TRUE	1/15/24 20:00	R_1LAJfiXkh01csWC					37.2972	-120.4639	anonymous	EN	Xavier Rivera	xavier.rivera@university.edu	Serenity Price	Wilson Cole	Licia Hayes	Genesis Murphy		
1/15/24 19:57	1/15/24 20:54	IP Address	184.23.23.16	100	3417	TRUE	1/15/24 20:54	R_5Etp9x1gDTvfO2n					37.8637	-122.276	anonymous	EN	Ana Cooper	ana.cooper@university.edu	Victoria Lee	Mila Thompson	Sarah Gonzales	Stella Mitchell	Audrey Edwards	
1/15/24 19:42	1/15/24 21:01	IP Address	61.199.190.6	100	4723	TRUE	1/15/24 21:01	R_4QDxF5PM9cLzMuv					35.6887	139.745	anonymous	EN	Andres Richardson	andres.richardson@university.edu	Eva Sanders	Cora Brooks	Cherry Perry	Luna Hall	Riley Wright	
12/19/23 23:51	1/15/24 21:55	IP Address	135.180.111.134	100	2325851	TRUE	1/15/24 21:55	R_1dtne1TmVS2midz					37.7201	-122.4414	anonymous	EN	Vanessa Cox	vanessa.cox@university.edu	Hannah Adams	Wilson Cole	Scarlett Lewis	Mila Thompson	Joaquin Jordan	
1/15/24 22:45	1/15/24 22:50	IP Address	24.4.20.247	100	319	TRUE	1/15/24 22:50	R_5dB3YlBMSZoLXa8					37.6538	-122.4257	anonymous	EN	Daniel Howard	daniel.howard@university.edu	Sofia Robinson	Eliana Peterson	Eleanor Green			
1/15/24 13:27	1/15/24 23:34	IP Address	76.32.180.169	100	36379	TRUE	1/15/24 23:34	R_1KW4LJuLnxTUL0U					34.0803	-117.735	anonymous	EN	Mariana Ward	mariana.ward@university.edu	Emma Smith	Wilson Cole	Stella Mitchell	Sara Alexander	Eva Sanders	
1/16/24 0:55	1/16/24 0:57	IP Address	24.4.227.93	100	132	TRUE	1/16/24 0:57	R_1Ra0uglxnyt26fo					37.4371	-121.8954	anonymous	EN	Emilio Torres	emilio.torres@university.edu	Elena Howard	Kimberly Gibson	Oscar Reynolds	Sara Alexander		
1/16/24 1:04	1/16/24 1:10	IP Address	69.181.100.181	100	343	TRUE	1/16/24 1:10	R_6nwqfQp0cIBfpy5					37.8084	-122.2846	anonymous	EN	Ximena Peterson	ximena.peterson@university.edu	Ella Garcia	Wilson Cole	Chloe Young	Everly Cook		
1/16/24 10:27	1/16/24 10:53	IP Address	69.181.181.217	100	1569	TRUE	1/16/24 10:53	R_3q7kUQVU4OwGsC2					37.7703	-122.4407	anonymous	EN	Carlos Gray	carlos.gray@university.edu	Rong Foster	Brooklyn Collins	Roberto Graham	Eva Sanders	Kimberly Gibson	
1/16/24 11:28	1/16/24 11:30	IP Address	172.56.233.132	100	102	TRUE	1/16/24 11:30	R_3HpXhJ3y7kaDMmF					34.0486	-118.1796	anonymous	EN	Luna Ramirez	luna.ramirez@university.edu	Cora Brooks	Quinn Jenkins	Nevaeh Barnes	Eleanor Green	Onur Flores	
1/8/24 13:24	1/16/24 11:32	IP Address	128.218.42.134	100	684480	TRUE	1/16/24 11:32	R_6LcBTkIl7agfbia					37.7595	-122.4367	anonymous	EN	Alejandro James	alejandro.james@university.edu	Camila Clark	Judith Harrison	Liam Johnson	Zoe Roberts	Autumn Bennett	
1/9/24 16:52	1/16/24 11:35	IP Address	96.65.213.66	100	585769	TRUE	1/16/24 11:35	R_1IiX3wWSIIwQ9e5					45.5288	-122.6821	anonymous	EN	Victoria Watson	victoria.watson@university.edu	Zoe Roberts	Audrey Edwards	Caroline Bell	Ariana Torres	Penelope Hernandez	
1/16/24 11:35	1/16/24 11:44	IP Address	96.65.213.66	100	490	TRUE	1/16/24 11:44	R_5Q4r5u0sUdlTrWq					45.5288	-122.6821	anonymous	EN	Eduardo Brooks	eduardo.brooks@university.edu	Brooklyn Collins	Avery Martinez	Maya Richardson	Matthew Washington	Kinsley Cooper	
1/3/24 20:03	1/16/24 11:54	IP Address	136.25.72.127	100	1093821	TRUE	1/16/24 11:54	R_6HnxmNgdDh3td8r					37.8657	-122.2571	anonymous	EN	Zoe Kelly	zoe.kelly@university.edu	Cora Brooks	Sarah Gonzales	Layla King	Catera Ellis	Gideon Bryant	
1/16/24 11:56	1/16/24 12:17	IP Address	73.15.154.92	100	1257	TRUE	1/16/24 12:17	R_3ls2reWyWYuIrOv					37.7506	-122.4121	anonymous	EN	Javier Sanders	javier.sanders@university.edu	Layla King	Chloe Young	Stella Mitchell	Nevaeh Barnes		
1/16/24 11:54	1/16/24 12:48	IP Address	136.25.72.127	100	3228	TRUE	1/16/24 12:48	R_7wKtBIxQQB1Rn03					37.8657	-122.2571	anonymous	EN	Sofia Price	sofia.price@university.edu	Skylar Morris	Orion Ford	Emma Smith	Eleanor Green		
1/16/24 12:56	1/16/24 12:59	IP Address	168.150.43.203	100	174	TRUE	1/16/24 12:59	R_7rHlWp0lT5XFYKI					33.8778	-118.2137	anonymous	EN	Carmen Bennett	carmen.bennett@university.edu	Leah Turner	Skylar Morris	Avery Martinez	Licia Hayes	Isabella Davis	
1/16/24 12:53	1/16/24 13:10	IP Address	136.152.215.205	100	1029	TRUE	1/16/24 13:10	R_3MXteZ5ZssGi9uP					37.8906	-122.2936	anonymous	EN	Cristian Wood	cristian.wood@university.edu	Isabella Davis	Mila Thompson	Aurora Parker	Charlotte Taylor	Sarah Gonzales	
1/4/24 17:35	1/16/24 14:01	IP Address	104.220.203.88	100	1023987	TRUE	1/16/24 14:01	R_3ZIDbwe5WOrKsJD					38.6829	-121.7969	anonymous	EN	Mariana Barnes	mariana.barnes@university.edu	Aurora Parker	Emily Harris				
1/16/24 14:12	1/16/24 14:40	IP Address	108.91.152.233	100	1666	TRUE	1/16/24 14:40	R_6P5h80Y1AvpF7rB					38.687	-121.3477	anonymous	EN	Adrian Ross	adrian.ross@university.edu	Eleanor Green	Orion Ford	Ruby Kelly	Hailey Gray	Leah Turner	
12/31/23 2:44	1/16/24 15:40	IP Address	104.28.123.87	100	1428946	TRUE	1/16/24 15:40	R_3GwOdF6840MuF4k					34.281	-119.1702	anonymous	EN	Natalia Henderson	natalia.henderson@university.edu	Roberto Graham	Claire Sanchez	Sarah Cox	Violet Campbell	Adeline Ward	
1/15/24 23:34	1/16/24 15:56	IP Address	134.173.92.8	100	58924	TRUE	1/16/24 15:56	R_5OmFIMqmnRANAcN					34.1091	-117.7126	anonymous	EN	Diego Coleman	diego.coleman@university.edu	Akinyemi Diaz	Eliana Peterson	Eva Sanders	Sara Alexander	Ruby Kelly	
1/16/24 15:40	1/16/24 15:59	IP Address	104.28.123.87	100	1174	TRUE	1/16/24 16:00	R_7mCq6hYjesSZR2p					34.281	-119.1702	anonymous	EN	Valeria Jenkins	valeria.jenkins@university.edu	Sofia Robinson	Eleanor Green	Aaliyah Bailey	Ashish West	Madelyn Watson	
1/16/24 15:52	1/16/24 16:00	IP Address	136.152.215.10	100	463	TRUE	1/16/24 16:00	R_60ZHhVTAc69TcxY					37.8906	-122.2936	anonymous	EN	Samuel Perry	samuel.perry@university.edu	Eliana Peterson	Ross Simmons	Madison Walker	Eva Sanders		
1/4/24 14:54	1/16/24 16:49	IP Address	136.152.215.208	100	1043678	TRUE	1/16/24 16:49	R_1HYTw2sSD4cI2R3					37.8906	-122.2936	anonymous	EN	Isabella Powell	isabella.powell@university.edu	Cora Brooks	Wilson Cole	Sadie Henderson	Hannah Adams	Joaquin Jordan	
1/16/24 17:06	1/16/24 17:35	IP Address	107.77.213.10	100	1729	TRUE	1/16/24 17:35	R_53d3jgPT0mnSTz6					37.7906	-122.2412	anonymous	EN	Lucia Long	lucia.long@university.edu	Harper Thomas	Nevaeh Barnes	Aurora Parker	Andrew Hughes	Sara Alexander	
1/16/24 17:35	1/16/24 17:45	IP Address	76.217.180.55	100	608	TRUE	1/16/24 17:45	R_5fCeHcHJg9iITp4					33.9168	-118.3432	anonymous	EN	Juan Patterson	juan.patterson@university.edu	Roberto Graham	Nevaeh Barnes	Matthew Washington	Charlotte Taylor	Zoey Lopez	
1/16/24 17:40	1/16/24 18:10	IP Address	156.1.60.60	100	1755	TRUE	1/16/24 18:10	R_6tkBoiEZvYuJa8N					37.7308	-122.3838	anonymous	EN	Camila Hughes	camila.hughes@university.edu	Wilson Cole	Bella Stewart	Akinyemi Diaz	Evelyn Jackson	Olivia Williams	
1/16/24 18:06	1/16/24 18:15	IP Address	107.77.232.37	100	536	TRUE	1/16/24 18:15	R_6qyT4c77AxHAAGf					37.751	-97.822	anonymous	EN	Mateo Flores	mateo.flores@university.edu	Madison Walker	Aria Rodriguez	john Powell			
1/16/24 16:35	1/16/24 18:20	IP Address	204.102.74.189	100	6329	TRUE	1/16/24 18:20	R_1ihAxc1MMDULvJ8					37.7797	-122.4159	anonymous	EN	Isabella Washington	isabella.washington@university.edu	Harper Thomas	Oscar Reynolds	Emily Harris	Sara Alexander	Lillian Baker	
1/16/24 18:59	1/16/24 19:10	IP Address	76.149.50.116	100	618	TRUE	1/16/24 19:10	R_6pVQ1jZ7i9VAAM1					38.687	-121.3477	anonymous	EN	Santiago Butler	santiago.butler@university.edu	Addison Gonzalez	Scarlett Lewis	Eliana Peterson	Aaliyah Bailey	Charlotte Taylor	
