StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q3	Q3_4_TEXT	Q31	Q33	Q34	Q35	Q36	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q12
1/2/24 16:57	1/2/24 17:25	IP Address	128.218.42.86	100	1672	TRUE	1/2/24 17:25	R_7BGsJtctsFmSA3D					37.7595	-122.4367	anonymous	EN	Grace Allen	Grace.Allen@u.edu	Assistant Professor		Mariana Hayes	Luisa Carter	Mateo Lopez	Valentina Scott		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/2/24 18:05	1/2/24 18:19	IP Address	128.218.42.191	100	845	TRUE	1/2/24 18:19	R_5RlNpUIB99LCADv					37.7595	-122.4367	anonymous	EN	Chloe Young	Chloe.Young@u.edu	Professor		Eduardo Hernandez	Andres Hill	Gabriel Green	Gabriela Gonzales		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	There are too many potential applicants with interest in my field for me to pick a top 5.  Please feel free to match me with anyone with an interest in infectious diseases/viral pathogenesis/immunology.  My specific interests are in the inflammatory consequences of HIV and CMV.
1/2/24 18:01	1/2/24 18:22	IP Address	128.218.42.6	100	1211	TRUE	1/2/24 18:22	R_1IK7JvTDZHhcbdv					37.7595	-122.4367	anonymous	EN	Penelope Hernandez	Penelope.Hernandez@u.edu	Associate Professor		Andres Richardson	Luna Hall	Daniel Howard			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	There's no social science category!
1/2/24 19:53	1/2/24 19:54	IP Address	128.218.42.196	100	113	TRUE	1/2/24 19:54	R_64Upldt20jdOkKJ					37.7595	-122.4367	anonymous	EN	Layla King	Layla.King@u.edu	Professor		Santiago Martinez	Zoe Kelly	Luna Graham	Isabella Edwards		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	You are the best!
1/2/24 20:10	1/3/24 11:41	IP Address	108.233.249.137	100	55884	TRUE	1/3/24 11:41	R_3qsNeE4UA2stFJG					37.8938	-122.5303	anonymous	EN	Riley Wright	Riley.Wright@u.edu	Professor		Luna Graham	Vanessa Cox	Adrian Ross	Isabella Powell		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/3/24 13:24	1/3/24 13:45	IP Address	128.218.42.126	100	1276	TRUE	1/3/24 13:45	R_3Ucy2deWLZZgo6Z					37.7595	-122.4367	anonymous	EN	Zoey Lopez	Zoey.Lopez@u.edu	Associate Professor		Leonardo Foster	Victoria Young	Santiago Reed	Mariana Hayes		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
12/21/23 0:35	1/3/24 14:58	IP Address	135.180.38.225	100	1174967	TRUE	1/3/24 14:58	R_1MiicR6OqJtaMJ4					37.7506	-122.4121	anonymous	EN	Nora Hill	Nora.Hill@u.edu	Assistant Professor		Alejandro Turner	Valentina Scott	Emilio Walker	Leonardo Foster	Victoria Watson	"No, I am NOT available at this time"	"No, I am NOT available at this time"					"No, I am NOT available at this time"	"No, I am NOT available at this time"	
1/2/24 10:16	1/3/24 15:20	IP Address	45.17.138.216	100	104653	TRUE	1/3/24 15:20	R_61jwuNIptMZ8qAd					37.7562	-122.4866	anonymous	EN	Lily Scott	Lily.Scott@u.edu	Associate Professor		Lucia Long	Samuel Evans	Lucia Collins			"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"I would like to be matched with someone who is familiar with TMS and neuroimaging (fMRI, MEG or EEG) who has Matlab expertise, and ideally would be interested in working with patients suffering from schizophrenia, depression or elderly patients with cognitive decline. "
12/19/23 18:09	1/3/24 16:52	IP Address	64.54.15.152	100	1291363	TRUE	1/3/24 16:52	R_6kSCZPK4SR1beQp					37.7506	-122.4121	anonymous	EN	Eleanor Green	Eleanor.Green@u.edu	Assistant Professor		Natalia Henderson	Gabriela Gonzales	Luisa Carter	Valeria Lewis	Valentina Simmons									
1/3/24 18:10	1/3/24 18:36	IP Address	128.218.42.26	100	1512	TRUE	1/3/24 18:36	R_72WQWwXmyxosUGD					37.7595	-122.4367	anonymous	EN	Hannah Adams	Hannah.Adams@u.edu	Professor		Luisa Carter	Mariana Perez	Natalia Adams			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	N/A
1/2/24 12:05	1/5/24 14:05	IP Address	152.131.10.128	100	266433	TRUE	1/5/24 14:05	R_7m36sLPob1iY9II					37.4333	-122.1878	anonymous	EN	Lillian Baker	Lillian.Baker@u.edu	Other	Staff Psychologist NCPTSD/Clinical Professor (Affiliate) Stanford University	Sofia Rodriguez	Valeria Jenkins	Santiago Butler			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/5/24 14:25	1/5/24 14:49	IP Address	128.218.42.118	100	1445	TRUE	1/5/24 14:49	R_1EjhaP9tF7lrfPb					37.7595	-122.4367	anonymous	EN	Addison Gonzalez	Addison.Gonzalez@u.edu	Associate Professor		Valentina Adams	Catalina Bailey	Mariana Hayes	Vanessa Griffin										
1/8/24 10:21	1/8/24 10:23	IP Address	128.218.42.163	100	141	TRUE	1/8/24 10:23	R_3EthEk6YHhoZ4sj					37.7562	-122.4866	anonymous	EN	Aubrey Nelson	Aubrey.Nelson@u.edu	Associate Professor		Gabriela Phillips	Camila Sanchez	Carlos Gray	Isabella Washington	Gabriela Turner	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"		
1/2/24 17:45	1/8/24 12:58	IP Address	128.218.42.141	100	501151	TRUE	1/8/24 12:58	R_18YEn7hx9MtrXtm					37.7595	-122.4367	anonymous	EN	Ellie Carter	Ellie.Carter@u.edu	Assistant Professor		Juan Stewart	Emilio Walker	Valeria Jenkins	Victoria Watson		"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	
1/4/24 10:22	1/8/24 13:44	IP Address	128.218.42.135	100	357755	TRUE	1/8/24 13:44	R_3sbPHxXZRFn6IUj					37.7595	-122.4367	anonymous	EN	Stella Mitchell	Stella.Mitchell@u.edu	Professor		Xavier Wright	Santiago Butler	Lucia Long	Sebastian Phillips										
1/8/24 14:30	1/8/24 14:55	IP Address	128.218.42.130	100	1483	TRUE	1/8/24 14:55	R_5pLjcVXKnaJmQ5h					37.7595	-122.4367	anonymous	EN	Natalie Perez	Natalie.Perez@u.edu	Associate Professor		Xavier Bryant	Samuel Evans				"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/8/24 14:53	1/8/24 16:49	IP Address	128.218.42.183	100	6983	TRUE	1/8/24 16:49	R_6GDaDICOAyGkPcd					37.7595	-122.4367	anonymous	EN	Zoe Roberts	Zoe.Roberts@u.edu	Professor		Gabriel Green	Andres Russell	Javier Sanders	Juan Thompson		"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/2/24 18:12	1/9/24 15:44	IP Address	152.131.6.136	100	595925	TRUE	1/9/24 15:44	R_1SHwTOq3wbYiGqV					37.751	-97.822	anonymous	EN	Leah Turner	Leah.Turner@u.edu	Professor		Valentina Cook	Santiago Butler	Leonardo Baker	Leonardo Morgan	Samuel Perry	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"		
1/9/24 15:58	1/9/24 17:01	IP Address	128.218.42.117	100	3775	TRUE	1/9/24 17:01	R_6LhxxgrZb0jug4N					37.7562	-122.4866	anonymous	EN	Hazel Phillips	Hazel.Phillips@u.edu	Assistant Professor		Mateo Morris	Juan Stewart	Alejandro Wilson			"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/9/24 12:34	1/9/24 22:09	IP Address	67.169.159.155	100	34503	TRUE	1/9/24 22:09	R_5n90dvt67ghKlV4					37.8487	-122.2209	anonymous	EN	Violet Campbell	Violet.Campbell@u.edu	Professor		Eduardo Hernandez	Gabriel Murphy				"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	I have a hard time ranking my top five candidates in any particular order. There are a number of additional students who might also be a good match. 
1/5/24 0:13	1/10/24 0:41	IP Address	128.218.42.116	100	433638	TRUE	1/10/24 0:41	R_7ur0PAOMHbIqb35					37.7562	-122.4866	anonymous	EN	Aurora Parker	Aurora.Parker@u.edu	Professor		Santiago Reed	Mariana Perez				"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	
1/10/24 10:54	1/10/24 10:56	IP Address	128.218.42.9	100	149	TRUE	1/10/24 10:56	R_6aHZfhS5QnHZnvX					37.7595	-122.4367	anonymous	EN	Savannah Evans	Savannah.Evans@u.edu	Assistant Professor		Cristian Wood	Luna Ramirez	Mariana Mitchell	Alejandro Sullivan	Gabriela Turner	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	
1/2/24 17:43	1/10/24 12:28	IP Address	128.218.42.56	100	672327	TRUE	1/10/24 12:28	R_3DS7ZcofwxPfqw4					37.7595	-122.4367	anonymous	EN	Audrey Edwards	Audrey.Edwards@u.edu	Associate Professor		Carmen Bennett	Lucia Long	Cristian Wood	Mateo Morris		"No, I am NOT available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	"No, I am NOT available at this time"	"Yes, I am available at this time"	"No, I am NOT available at this time"	
